Edge Coord
:a56_0 (840.197,1356.25,1.895)
:a56m_0 (792.027,1424.44,1.895)
:a56m_1 (791.703,1422.46,1.895)
:a59_0 (1260.33,1314.89,1.895)
:a60_0 (1299.15,1308.12,1.895)
:a61_0 (1299.88,1304.63,1.895)
:a61_4 (1309.9,1306.1,1.895)
:a62_1 (1338.19,1296.69,1.895)
:a62_3 (1339.41,1300.04,1.895)
:a62_4 (1338.38,1299.6,1.895)
:a62_7 (1338.81,1292.28,1.895)
:a63_0 (1245.44,1314.05,1.895)
:a63_1 (1247.08,1316.67,1.895)
:a63_2 (1251.28,1316.48,1.895)
:a64_0 (1464.89,1311.62,1.895)
:a65_0 (1496.1,1314.13,1.895)
:a66_0 (1527.71,1310.73,1.895)
:a66_1 (1531.25,1313.4,1.895)
:a66_2 (1527.28,1316.51,1.895)
:a68_0 (1572.46,1317.77,1.895)
:a68_2 (1582.3,1322.14,1.895)
:a6_2 (667.348,1807.05,1.895)
:a70_0 (1654.95,1326.65,1.895)
:a70_2 (1657.18,1330.24,1.895)
:a71_0 (1691.52,1334.72,1.895)
:a72_0 (1725,1338.62,1.895)
:a73_0 (1756.57,1338.81,1.895)
:a73_1 (1763.98,1342.13,1.895)
:a73_2 (1759.2,1345.98,1.895)
:a73_3 (1760,1342.6,1.895)
:a78_0 (1805.44,847.602,1.895)
:a78_1 (1804.05,855.229,1.895)
:a78_4 (1814.35,850.317,1.895)
:a78_6 (1798.29,852.585,1.895)
:a78_9 (1801.95,860.819,1.895)
:a79_0 (1561.63,1119.95,1.895)
:a79_1 (1561.97,1114.41,1.895)
:a7_3 (766.283,1829.35,1.895)
:a82_1 (1154.53,1325.47,1.895)
:a82_2 (1149.3,1329.54,1.895)
:a84_0 (941.28,1373.76,1.895)
:a85_0 (976.075,1366.27,1.895)
:a8_0 (943.055,1138.68,1.895)
:a9_0 (949.545,1075.53,1.895)
:a9_1 (955.305,1072.92,1.895)
:a9_11 (946.348,1093.73,1.895)
:a9_12 (944.236,1090.37,1.895)
:a9_14 (944.528,1087,1.895)
:a9_15 (951.774,1092.02,1.895)
:a9_16 (955.065,1082.1,1.895)
:a9_17 (952.975,1086.91,1.895)
:a9_18 (960.502,1077.85,1.895)
:a9_4 (963.415,1077.96,1.895)
:a9_6 (962.987,1084.64,1.895)
:a9_8 (957.37,1101.23,1.895)
:a9_9 (951.299,1098.6,1.895)
:b0_0 (438.465,928.738,1.895)
:b0_10 (433.964,970.885,1.895)
:b0_11 (417.959,952.067,1.895)
:b0_12 (427.796,948.344,1.895)
:b0_15 (424.852,946.514,1.895)
:b0_16 (446.565,953.166,1.895)
:b0_17 (434.352,949.794,1.895)
:b0_18 (432.159,942.798,1.895)
:b0_19 (439.698,943.892,1.895)
:b0_2 (441.225,930.748,1.895)
:b0_3 (460.355,947.264,1.895)
:b0_6 (458.738,950.244,1.895)
:b0_7 (436.59,973.248,1.895)
:b10_0 (825.371,388.881,1.895)
:b10_12 (812.103,395.007,1.895)
:b10_17 (813.96,396.221,1.895)
:b10_3 (826.291,392.546,1.895)
:b10_4 (827.041,398.303,1.895)
:b10_8 (812.74,401.686,1.895)
:b10_9 (813.38,399.069,1.895)
:b12_0 (718.733,345.211,1.895)
:b12_3 (718.892,348.182,1.895)
:b12_4 (717.856,355.808,1.895)
:b12_5 (717.038,344.935,1.895)
:b12_6 (714.144,357.462,1.895)
:b12_7 (718.783,351.502,1.895)
:b12_8 (713.742,354.563,1.895)
:b13_0 (260.36,150.577,1.895)
