Edge Coord Position-Lane Info
:a0_0 (1787.24,1127.6,1.895) 0.153422 car[145]_at:240.1_Dist:6.457042 car[473]_at:322.1_Dist:4.344867 car[841]_at:509.3_Dist:3.565012 car[1244]_at:602.2_Dist:2.844853 car[1329]_at:609.8_Dist:0.450469 car[1695]_at:714.7_Dist:0.153422
:a0_2 (1782.86,1121.08,1.895) 0.0176207 car[57]_at:145.1_Dist:2.229073 car[36]_at:193.1_Dist:2.038911 car[244]_at:240.1_Dist:0.017621
:a11_0 (674.718,1764.92,1.895) 0.0215651 car[36]_at:13.1_Dist:3.176176 car[57]_at:20.1_Dist:3.143540 car[197]_at:66.1_Dist:3.133229 car[243]_at:80.1_Dist:1.203951 car[306]_at:102.1_Dist:0.443131 car[341]_at:112.1_Dist:0.089223 car[6487]_at:2094.1_Dist:0.025412 car[7287]_at:2353.1_Dist:0.021565
:a12_1 (692.666,1712.63,1.895) 0.0272944 car[183]_at:116.5_Dist:4.952245 car[274]_at:169.1_Dist:0.268279 car[357]_at:421.1_Dist:0.260663 car[1267]_at:677.1_Dist:0.254705 car[1479]_at:925.1_Dist:0.186472 car[4538]_at:2019.1_Dist:0.104159 car[8801]_at:2895.1_Dist:0.027294
:a12_2 (695.95,1709.15,1.895) 0.00356784 car[61]_at:85.8_Dist:2.433718 car[77]_at:98.6_Dist:2.007058 car[174]_at:115.1_Dist:1.731562 car[258]_at:169.1_Dist:0.470596 car[267]_at:176.1_Dist:0.060536 car[1269]_at:511.2_Dist:0.003568
:a12_3 (698.58,1710.66,1.895) 0.195393 car[731]_at:394.1_Dist:2.449366 car[1844]_at:734.1_Dist:0.426897 car[2959]_at:1153.1_Dist:0.195393
:a12_5 (699.524,1711.37,1.895) 0.015525 car[6]_at:144.1_Dist:0.146898 car[1782]_at:810.1_Dist:0.117473 car[2246]_at:906.1_Dist:0.097230 car[4107]_at:1570.1_Dist:0.015525
:a12_6 (700.533,1713.74,1.895) 0.208991 car[432]_at:145.1_Dist:0.850699 car[832]_at:306.1_Dist:0.406835 car[846]_at:308.1_Dist:0.291644 car[5006]_at:1650.1_Dist:0.285839 car[6251]_at:2070.1_Dist:0.283348 car[9254]_at:2994.1_Dist:0.208991
:a12_7 (696.337,1714.85,1.895) 0.00480878 car[82]_at:85.1_Dist:0.437915 car[121]_at:87.1_Dist:0.295413 car[341]_at:169.1_Dist:0.146974 car[3026]_at:1013.1_Dist:0.146661 car[3240]_at:1095.1_Dist:0.099303 car[3520]_at:1181.1_Dist:0.092929 car[7830]_at:2531.1_Dist:0.023638 car[10818]_at:3531.1_Dist:0.004809
:a12_9 (696.811,1713.71,1.895) 0.0010747 car[61]_at:97.8_Dist:1.631783 car[77]_at:99.6_Dist:0.206707 car[581]_at:268.4_Dist:0.086186 car[1914]_at:694.7_Dist:0.040065 car[2049]_at:775.1_Dist:0.017636 car[10515]_at:3470.1_Dist:0.001075
:a13_0 (802.664,1696.81,1.895) 0.262566 car[578]_at:321.1_Dist:1.641765 car[1394]_at:588.1_Dist:0.262566
:a13_1 (798.395,1697.77,1.895) 0.0399673 car[225]_at:134.1_Dist:5.982609 car[239]_at:210.1_Dist:0.972317 car[519]_at:302.1_Dist:0.133925 car[7445]_at:2677.1_Dist:0.107821 car[10713]_at:3679.4_Dist:0.039967
:a13_3 (807.313,1699.91,1.895) 0.0145688 car[61]_at:107.8_Dist:6.354297 car[174]_at:125.1_Dist:6.196435 car[412]_at:146.1_Dist:1.197066 car[300]_at:192.1_Dist:0.514253 car[738]_at:306.1_Dist:0.323859 car[3774]_at:1296_Dist:0.176164 car[8639]_at:2879.1_Dist:0.014569
:a15_0 (1176.35,1124.68,1.895) 0.0719466 car[310]_at:234.1_Dist:0.266025 car[3362]_at:1233.1_Dist:0.078125 car[5270]_at:1775.1_Dist:0.074215 car[7678]_at:2576.1_Dist:0.071947
:a15_2 (1179.38,1126.13,1.895) 0.116892 car[1210]_at:594.1_Dist:0.301105 car[5684]_at:1963.1_Dist:0.293074 car[6403]_at:2214.1_Dist:0.116892
:a15_5 (1179.18,1140.03,1.895) 0.00754524 car[57]_at:101.1_Dist:8.419960 car[40]_at:188.1_Dist:4.083111 car[127]_at:189.1_Dist:4.042143 car[58]_at:190.3_Dist:2.698010 car[94]_at:191.7_Dist:0.418699 car[341]_at:271.1_Dist:0.108841 car[1956]_at:827.1_Dist:0.099825 car[2336]_at:918.1_Dist:0.072778 car[8015]_at:2798.7_Dist:0.013627 car[9082]_at:3151_Dist:0.007545
:a15_7 (1178.64,1138.88,1.895) 0.0270305 car[1720]_at:799.1_Dist:2.025389 car[1754]_at:956.1_Dist:0.773853 car[2769]_at:1046.1_Dist:0.027030
:a16_0 (1031,1088.83,1.895) 0.0961353 car[913]_at:427.1_Dist:1.353770 car[1361]_at:607.1_Dist:0.096135
:a18_4 (835.916,1562.2,1.895) 0.12694 car[471]_at:307.1_Dist:5.873599 car[763]_at:320.1_Dist:3.776073 car[578]_at:333.1_Dist:1.852950 car[383]_at:355.1_Dist:1.128548 car[1293]_at:495.1_Dist:0.418652 car[1294]_at:716.3_Dist:0.373981 car[4334]_at:1629.3_Dist:0.348702 car[6910]_at:2501.1_Dist:0.126940
:a19_0 (750.125,1572.47,1.895) 0.0636103 car[183]_at:105.5_Dist:6.062314 car[258]_at:130.1_Dist:3.884146 car[738]_at:287.1_Dist:0.986338 car[993]_at:372.1_Dist:0.154000 car[1398]_at:520.1_Dist:0.141095 car[2958]_at:1020.1_Dist:0.118981 car[9096]_at:2975.6_Dist:0.063610
:a19_3 (756.573,1567.42,1.895) 0.000900171 car[471]_at:316.1_Dist:4.448222 car[763]_at:329.1_Dist:2.584962 car[578]_at:342.1_Dist:0.505976 car[972]_at:425.1_Dist:0.306920 car[1394]_at:611.1_Dist:0.068443 car[5053]_at:1898.1_Dist:0.000900
:a19_6 (758.048,1567.36,1.895) 0.0299177 car[121]_at:100.1_Dist:6.444039 car[135]_at:101.1_Dist:0.590002 car[1075]_at:369.1_Dist:0.073656 car[7316]_at:2379.1_Dist:0.029918
:a1_0 (1873.9,1091.83,1.895) 7.51961e-05 car[16]_at:96.1_Dist:4.835611 car[37]_at:96.3_Dist:4.830189 car[44]_at:97.7_Dist:4.636732 car[49]_at:97.8_Dist:4.253377 car[53]_at:99_Dist:3.289825 car[117]_at:102.3_Dist:1.534610 car[133]_at:103.7_Dist:1.039286 car[212]_at:201.1_Dist:0.142088 car[455]_at:303.1_Dist:0.120800 car[661]_at:314.1_Dist:0.000075
:a1_3 (1871.57,1090.34,1.895) 0.0247827 car[57]_at:152.1_Dist:8.275721 car[36]_at:240.1_Dist:0.728122 car[196]_at:247.1_Dist:0.563106 car[568]_at:350.1_Dist:0.107945 car[703]_at:447.6_Dist:0.077480 car[1441]_at:755_Dist:0.028238 car[3792]_at:1477.2_Dist:0.024783
:a1b_0 (1861.07,1096.07,1.895) 0.00710103 car[57]_at:151.1_Dist:9.602894 car[36]_at:237.1_Dist:0.305022 car[341]_at:340.1_Dist:0.152854 car[1189]_at:648.4_Dist:0.037151 car[3166]_at:1287.1_Dist:0.021088 car[3756]_at:1481.1_Dist:0.018247 car[9418]_at:3270.3_Dist:0.007101
:a1b_2 (1855.42,1095.45,1.895) 0.000826385 car[26]_at:92.1_Dist:0.475133 car[47]_at:92.1_Dist:0.348271 car[383]_at:200.1_Dist:0.035025 car[1236]_at:508.1_Dist:0.000826
:a1c_1 (1880.16,1118.38,1.895) 0.00307735 car[16]_at:92.1_Dist:0.311956 car[156]_at:105.1_Dist:0.238362 car[416]_at:214.1_Dist:0.132522 car[1406]_at:523.1_Dist:0.003077
:a204c_0 (1833.82,894.472,1.895) 0.0033034 car[16]_at:111.1_Dist:4.785427 car[117]_at:118.3_Dist:4.345247 car[133]_at:119.7_Dist:3.687734 car[10]_at:132.1_Dist:2.068931 car[270]_at:221.3_Dist:1.146730 car[416]_at:232.1_Dist:1.110534 car[170]_at:263.1_Dist:0.855975 car[494]_at:321.1_Dist:0.140252 car[2825]_at:1054.3_Dist:0.127160 car[2575]_at:1117.3_Dist:0.106922 car[2890]_at:1222.4_Dist:0.020400 car[8868]_at:3039.4_Dist:0.003303
:a204c_3 (1827.92,886.623,1.895) 0.0104093 car[28]_at:111.1_Dist:10.127926 car[49]_at:112.8_Dist:3.397915 car[103]_at:116.1_Dist:1.173165 car[430]_at:231.1_Dist:1.053840 car[329]_at:304.1_Dist:0.708384 car[391]_at:405.1_Dist:0.291067 car[935]_at:429.7_Dist:0.010558 car[7767]_at:2739.2_Dist:0.010409
:a20a_0 (804.401,1407.27,1.895) 0.0281511 car[144]_at:129.1_Dist:4.767258 car[5]_at:234.1_Dist:1.210099 car[781]_at:496.1_Dist:0.734628 car[1981]_at:714.1_Dist:0.662814 car[3477]_at:1267.1_Dist:0.610214 car[3778]_at:1605.3_Dist:0.044575 car[9751]_at:3474.4_Dist:0.028151
:a20a_1 (811.866,1404.74,1.895) 0.135883 car[320]_at:201.1_Dist:2.617559 car[100]_at:243.1_Dist:0.591606 car[1267]_at:619.1_Dist:0.152139 car[3337]_at:1607.1_Dist:0.135883
:a20b_0 (818.244,1411.58,1.895) 0.00284905 car[3]_at:40.1_Dist:6.697899 car[19]_at:42.7_Dist:5.829274 car[32]_at:46.2_Dist:2.820398 car[46]_at:50.8_Dist:1.685666 car[52]_at:53.3_Dist:1.579847 car[83]_at:62.1_Dist:0.723840 car[202]_at:101.1_Dist:0.568205 car[228]_at:110.1_Dist:0.368390 car[504]_at:202.3_Dist:0.136215 car[645]_at:247.1_Dist:0.121637 car[2528]_at:866.6_Dist:0.078897 car[2657]_at:902.1_Dist:0.004747 car[3383]_at:1131.1_Dist:0.002849
:a20b_2 (816.398,1415.02,1.895) 0.0130752 car[168]_at:164.1_Dist:6.625209 car[320]_at:202.1_Dist:3.349652 car[100]_at:244.1_Dist:1.594846 car[1267]_at:620.1_Dist:1.166495 car[1419]_at:622.1_Dist:0.584485 car[1330]_at:738.1_Dist:0.095057 car[8797]_at:3453.7_Dist:0.013075
:a20c_0 (821.913,1422.5,1.895) 0.0809922 car[168]_at:165.1_Dist:4.386782 car[320]_at:203.1_Dist:0.449070 car[33]_at:240.4_Dist:0.204438 car[1888]_at:1113.1_Dist:0.150853 car[5757]_at:2085.1_Dist:0.080992
